AbnormalResources,AntiDebug,BrowserReferences,CompanyName,CryptoUsed,DomainNames,Dropper,FileSize,Filename,HidingImports,IllegitimatePrograms,MalwareFunctions,MalwareType,MatchingCompiler,Overlay,PEiDSignature,Packed,PossibleCompilersCount,UndesirableBehavior,WindowsNativeAPI
False,False,False,unknown,True,False,False,561646,6f6b85df267966cf1ba49489030f0a5eacbc7600fa708a8083eb3e63b8d7c313,True,False,True,winical,MASM/TASM - sig1(h),True,False,False,1,False,False
False,True,False,unknown,False,False,False,26272,5c528ac5fe11e1be4be0f687fb8b36da5a4bb4586779d01af86fe78f3108a08c,False,True,False,farfli,unknown,False,False,True,0,True,True
False,False,False,unknown,False,False,False,99840,4b5749265c57b8a42c977b36696bdce6b65ba5d4703d6d0d187b32c0862702b2,False,False,False,krap,unknown,False,False,True,0,False,False
False,False,False,unknown,False,False,False,504320,691b9d7b6220ddcfe2200f1aaf37668bb52ef5083131d47dff70ccb43bcc86a6,False,False,False,bancos,unknown,True,False,True,0,False,False
True,False,False,unknown,False,False,False,2315264,6919155e67708edb149a0e19d2187d18aab83b33b01f79a42cbd71e0201359e2,True,False,False,zilix,unknown,False,True,True,0,False,False
False,False,False,LAN,False,True,False,54272,5fb67496f241e435e9e47eb9bee30a5edef01b42ccd8e306f20c0ef79d95e476,False,False,False,constructor,Microsoft Visual Basic v5.0 - v6.0,False,False,False,1,True,False
False,False,False,Microsoft,False,True,False,7118659,5fbf642fd76feda221f412f7edd44f83cba839217d73c0623691ac2133e7c9e1,False,False,False,swisyn,unknown,True,True,False,3,True,False
False,False,False,unknown,False,False,False,411136,5bc8196dda6774d1c4a35d4a72dd3c5465e8fc058d91b2ca777b9ca2de67e93b,False,False,False,bancos,unknown,True,False,True,0,False,False
False,True,False,unknown,False,False,False,532480,5bc93b32fd1b9ef237d8000b30b8aaf4f7729b583bdbd9e0aef47ac707bd70ce,True,False,True,alicia,"Borland Delphi 5 -> Portions Copyright (c) 1983,99 Borland (h)",False,False,False,1,False,False
False,True,False,unknown,False,False,False,21984,5bc92b43cffe148205ae97e00d8bafbf6f6a5d7162194fd9104476c6660078c0,False,True,False,farfli,unknown,False,False,True,0,True,True
False,False,False,Windows (R) 2000 DDK provider,False,True,False,13891,5bc3d55d15e3155cc54ce5efdb6195c32020702431f08152d9cdf4e3d3d2f892,False,False,False,rootkit,unknown,True,False,True,0,False,False
False,False,False,unknown,False,False,False,88784,4a4a42bdbeba715311255e6a20404ff610cb1887bd3b5572e5b9b6e04ca47940,True,False,False,worm,unknown,True,True,True,0,False,False
False,True,False,unknown,False,False,False,24160,4a46422854bd0ee5ccc31c82962e963f1923d86ae8db01493f763605813be900,False,True,False,farfli,unknown,False,False,True,0,True,True
False,False,False,unknown,False,False,False,29056,550fd4b52637e594321a9a7ec3ef089d8e421c68311372a441885c32b1bfa137,False,True,False,koutodoor,Microsoft Visual C++,False,False,True,1,False,True
False,False,False,unknown,False,False,False,544256,550a811ba73c76463adda38e9e3635720fb383c1754ba14cf6c82266a84cca77,False,False,False,bancos,unknown,True,False,True,0,False,False
False,True,False,unknown,False,False,False,28608,550698622f84839580afeffb2e74f2435679e8771bfb0612850f21b1468e8f2f,False,True,False,rtkdl,Microsoft Visual C++,False,False,True,1,False,True
False,True,False,unknown,False,False,False,47136,55012bab2c453149a380840fc50901de94afb650100baed2ff1e5405063de2fd,False,True,False,farfli,unknown,False,False,True,0,False,True
False,False,False,unknown,True,False,False,7436482,5502234af6dc29ca6507f2e70471ae4128a0fbb7d1396a6beefadd70eeb6b993,True,False,True,flystudio,Microsoft Visual C++ 6.0 - 8.0,True,False,False,1,False,False
False,False,False,unknown,False,False,False,121344,796b2cc5ee254708d90a781456fc66ec62ee224ea3895202e3fd1857a3a69b42,False,False,False,pihar,unknown,False,False,True,0,False,False
False,False,False,Microsoft,False,True,False,446577,5b93b773196ac7ce94ad975dcb9196f6243750dc1e41f3ff7c71aa8255e6e883,False,False,False,swisyn,unknown,True,True,True,2,False,False
False,False,False,unknown,False,False,False,29120,5b93428d6d2299897d6aedf8bd576fe3dcd74188c6d0b0a6f6af81c976c85685,False,True,False,rootkit,Microsoft Visual C++,False,False,True,1,False,True
False,True,False,unknown,False,False,False,49504,5ce51e821894dba3366690b0e6011e8d9c4a2d799c5649004ffcc7eca9cc28fe,False,True,False,farfli,unknown,False,False,True,0,False,True
False,True,False,unknown,False,False,False,28096,63ad29281567209bf0757bd4f765d67f25b5ccba28feebcde84fe54a425743a5,False,True,False,obfuscated,Microsoft Visual C++,False,False,True,1,False,True
False,False,False,unknown,False,False,False,417792,7f7e3b7982ff0a343f7285e53151154a9bb080812ac475aa0dc64739f89f9013,True,True,False,dlgj,unknown,True,True,True,3,False,False
False,False,False,Windows (R) 2000 DDK provider,False,True,False,28672,5b5fc3d8d1245426c8163725f989f9182982a9abaf851e9a596d85d4ce81f265,False,False,False,rootkit,unknown,True,False,True,0,False,False
False,False,False,unknown,False,False,False,95264,5b56fe1e0cd6a71fb733ff779f215005e6136113f1986988c6e57759749df557,False,False,False,tibs,unknown,False,False,True,0,False,False
False,True,False,unknown,False,False,False,49536,4e53d14b5dce5644355973cd70b669060e8e45c00c7705a7e095aa447a9da25c,False,True,False,farfli,unknown,False,False,True,0,False,True
False,False,False,unknown,False,False,False,283509,4e5ac2f745d2f86627f47e1597da7c7d8074d079d43a04aa2120a0a298965691,False,False,False,cycbot,unknown,True,False,False,0,False,False
False,True,False,unknown,False,False,False,24320,546fc1afcc225e7c5d06ad873cf15a93c3a1420c26ae0a27cf1153dd7d64f4bb,False,True,False,rtkdl,Microsoft Visual C++,False,False,True,1,False,True
False,True,False,unknown,False,False,False,48000,546b2ffa0dcf05229fa278af2dcd1e9fdb7d39d81f3ccc58b5b16b112dca656b,False,True,False,farfli,unknown,False,False,True,0,False,True
False,False,False,unknown,False,False,False,364544,5468b2d70fd2b2201efd755e62dcef0c4f8f136867d08ccc962cf8d73a0726af,False,False,False,bancos,unknown,True,False,True,0,False,False
False,False,False,unknown,False,False,False,249856,54687d7f03d06f745218e6f3cb773bc64706bd8b6951968f35f6254c1f191371,False,False,False,bancos,unknown,True,False,True,0,False,False
False,True,False,unknown,False,False,False,22784,546ee9b4af7681921964950ef8bce4e56df9bc65636f74453e27476e584aa250,False,True,False,farfli,unknown,False,False,True,0,True,True
False,True,False,unknown,False,False,False,30816,71f2823fc4bccd515814d9403550ffc17f45ea2c0b9875536c9fe26933a421bb,False,True,False,farfli,unknown,False,False,True,0,True,True
False,False,False,unknown,False,False,False,29120,71f0f301fc151954dafb43e4ee08df2612031a7b65c3c0142095681473927c36,False,True,False,rootkit,Microsoft Visual C++,False,False,True,1,False,True
False,False,False,unknown,False,False,False,485944,71ff0d0478d57de40239937a12471ac18b2433504b505cf5453743d8fd68e70f,True,False,False,adware,unknown,False,False,False,0,True,False
False,True,False,unknown,False,False,False,23616,71f421667c07506ff4a451689cbf2c2ea0e3822e2743c44063a35a393d3be1a8,False,True,False,farfli,unknown,False,False,True,0,True,True
False,False,True,unknown,False,False,False,152580,71f93c3e0a694efcb908ba9424ccf8e0de82ced2ac4c2bf21de2ca65f96b9602,False,True,False,adware,Microsoft Visual C++,True,False,True,1,True,True
False,False,False,unknown,True,False,False,100344,60511998cde6507f0619ba18e5f02d95fccb4214700c934c29bbb42d5b6d4fb7,True,True,False,aghn,"Borland Delphi 5 -> Portions Copyright (c) 1983,99 Borland (h)",False,False,False,1,True,False
False,True,False,unknown,False,False,False,24128,605375edb1ff24d2c9a77392dea9cf8808476217f72b9f8314cb076013b6e764,False,True,False,farfli,unknown,False,False,True,0,True,True
False,True,False,unknown,False,False,False,22688,6053c94d47851a796a6dc0bbf12b02bbab4071b409438ad7ecf82eadfa6779e4,False,True,False,farfli,unknown,False,False,True,0,True,True
False,False,False,unknown,False,False,False,114176,605171fb2ac08e88b17f251746be6f351d05785a81600791b8ddaa97a0dc3d01,False,False,False,bancos,unknown,True,False,True,0,False,False
True,False,False,unknown,False,False,False,236829,605106eaac312057d8dd0c6b208540463de0ae277567774c87122a9637808d47,True,False,False,bubkrqpi,Microsoft Visual C++ v6.0,True,True,True,1,True,False
False,False,False,unknown,False,False,False,29152,46bc00f650f3bf1a07b447943e5d0963d0fa971e44cd9991540be33eca4bfe22,False,True,False,rootkit,Microsoft Visual C++,False,False,True,1,False,True
False,True,False,unknown,False,False,False,26304,46b2f173df3d9ff3fd61c6d868433d1e410d4bcb2574470db09f14ba3683a1e9,False,True,False,farfli,unknown,False,False,True,0,False,True
False,False,False,unknown,False,False,False,28832,6604ce40925b6b0b84fe2224968af2eea80deb6ea1829ba46dfe66c17b0cfd60,False,True,False,rootkit,unknown,False,False,True,0,False,True
False,True,False,unknown,False,False,False,23712,660b57a08ff25b92369bfa1a2794fc4d250a2fc71f615dde20308d720108bc58,False,True,False,farfli,unknown,False,False,True,0,True,True
False,False,False,unknown,False,False,False,414208,4cff66840328f439098ebc1d7249b5e1c82733390e29deab8796dc2f52715103,False,False,False,bancos,unknown,True,False,True,0,False,False
False,False,False,Moco Soft,False,False,False,152763,4cfd1a7fbfcf6833cc6eb3493ff4732d39a9540188244162f9a15752f3cf5cfc,True,True,False,midgare,unknown,False,False,True,0,False,False
False,False,False,Windows (R) 2000 DDK provider,False,True,False,21504,4b09ae44003dd36ff64c818995ecdf26ff0460954d2ad2a0a56422441ff8967d,False,False,False,rootkit,unknown,True,False,True,0,False,False
False,True,False,unknown,False,False,False,49280,753953c557d3a52ac86e5057cfc018a4ebd8b20bc6c1ca596fc646b2a1542b77,False,True,False,farfli,unknown,False,False,True,0,False,True
False,False,False,unknown,False,False,False,393728,75340692d0f0ccba86e544817587f714d38c2284d7ef404756d44ead620703c1,True,True,False,fraudload,unknown,False,False,True,3,False,False
